"transaction_id","amount","user_id","hour","merchant","location","card_type","risk_score","fraud_reason","risk_level","is_fraud_flag","time","diff"
"F675E945","2019.53","USER_0024","5","D-Mart","Hyderabad","Amex","50","OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366396","1"
"699D2BA1","23548.13","USER_0003","0","Ola","Chennai","RuPay","90","HIGH AMOUNT ($23,548.13 > $5000) | OFF-HOURS (hour=0:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366398","1"
"974363D4","6023.1","USER_0017","1","Zomato","Jaipur","Amex","90","HIGH AMOUNT ($6,023.10 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366402","1"
"27640F32","8494.45","USER_0037","3","WireTransfer_Global","Hyderabad","Amex","100","HIGH AMOUNT ($8,494.45 > $5000) | OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366402","1"
"84555A13","1241.69","USER_0045","3","Amazon","Bangalore","Visa","50","OFF-HOURS (hour=3:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366406","1"
"FF8A8271","10757.95","USER_0014","1","Swiggy","Mumbai","Amex","90","HIGH AMOUNT ($10,757.95 > $5000) | OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366406","1"
"FEE5ECB3","2654.39","USER_0026","1","WireTransfer_Global","Jaipur","Visa","75","OFF-HOURS (hour=1:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366406","1"
"EB5B1510","3816.73","USER_0005","5","Ola","Kolkata","RuPay","50","OFF-HOURS (hour=5:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366410","1"
"F3992E26","4384.7","USER_0008","2","WireTransfer_Global","Chennai","Mastercard","75","OFF-HOURS (hour=2:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366410","1"
"A07A061F","2722.14","USER_0010","4","Reliance Mart","Mumbai","Mastercard","50","OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","HIGH","True","1772125366410","1"
"F6CEA50F","4048.75","USER_0024","4","CryptoExchange_BuyBit","Pune","RuPay","75","OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours) | HIGH-RISK MERCHANT CATEGORY","CRITICAL","True","1772125366410","1"
"61415FA6","6129.89","USER_0043","4","IRCTC","Ahmedabad","RuPay","90","HIGH AMOUNT ($6,129.89 > $5000) | OFF-HOURS (hour=4:00, between 00:00-06:00) | CRITICAL COMBO (high-value + off-hours)","CRITICAL","True","1772125366410","1"
